,contenido,reply,retweet,like
102,"El deporte es bienestar. En Quito recibimos el Plan #EcuadorEsDeporte, hecho por la sociedad civil, deportistas y expertos. En el país hay talento inigualable que necesita apoyo y estas propuestas son el camino. 

Tienen mi compromiso para lograrlo, #EncontrémonosPorElDeporte. ",586,811,"7,8 mil"
103,"Agradezco a la 
@feupeecuador
 y 
@FepeNacional
 por impulsar este espacio para conversar de educación superior. 

Seguimos encontrándonos por los jóvenes, para que tengan acceso a una educación de calidad, becas, internet gratuito y LIBERTAD DE ESTUDIAR.

#EncontrémonosParaLograrlo",696,636,"4,1 mil"
104," Los invitamos a conectarse desde la Página oficial de 
@feupeecuador
 en Facebook. Al conversatorio con 
@LassoGuillermo
.
#YparaLasUniversidadesQué 
 Esperamos aceptación del próximo conversatorio con 
@ecuarauz
#YparaLasUniversidadesQué
Las IES particulares del país ¡PRESENTES!",73,205,"1,2 mil"
105,"Como padres y madres, nuestra razón de luchar es el futuro de nuestros hijos. 

Garantizaremos que los jóvenes vayan a la universidad y sean grandes profesionales. 

#EncontrémonosParaLograrlo",204,524,"2,3 mil"
106,"A todos los emprendedores ecuatorianos: sueñen y emprendan. Nosotros impulsaremos su liderazgo con menos trabas y más libertad. Muchas gracias a la 
@aeiecuador
 y 
@Hora25Ec
 por promover este encuentro. 

#EncontrémonosParaLograrlo",422,814,"5,3 mil"
107,"Asumo el compromiso con la 
@aeiecuador
 de impulsar el emprendimiento. Trabajaremos con la sociedad civil para apoyar a los emprendedores y a la innovación. En mí van a encontrar a un Presidente que promoverá la libertad para emprender y el empleo.

#EncontrémonosParaLograrlo",229,642,"2,6 mil"
108,"En nuestro gobierno, todos los jóvenes tendrán la oportunidad de estudiar la carrera que ellos quieran.

Garantizar el derecho a la educación es apoyar la libertad para estudiar.

: ⁦
@aeiecuador
⁩, ⁦
@Hora25Ec
⁩.

#EncontrémonosParaLograrlo",183,583,"2,9 mil"
109,"¡Continuamos nuestro recorrido en Los Ríos!

Aumentaremos los ingresos de las familias en Mocache con trabajos bien remunerados, iniciativas de emprendimiento y créditos baratos. Sueñan con un futuro seguro y lo vamos a lograr. 

Gracias por recibirnos en su hogar. ",519,1100,"6,2 mil"
110,"La violencia hacia las mujeres en el campo y la ruralidad es grave. No podemos quedarnos con los brazos cruzados ante lo que atraviesan cada día. 

La lucha por la igualdad y la erradicación de la violencia serán políticas de Estado.

#EncontrémonosParaLograrlo",12,110,644
111,"En Puerto Bolívar nos encontramos junto a varios Alcaldes de El Oro, donde conversamos de creación de empleo, el futuro del agro y la reactivación económica.

Gracias por la apertura. Es necesario escucharnos por el bienestar de los orenses.  

#EncontrémonosParaLograrlo",106,268,"1,9 mil"
